objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,image_alt_text,cataloguer,citation
julianeltinge_dta_art_cartoon_1910,julianeltinge_dta_art_cartoon_1910.jpg,Julian Eltinge - Cartoon,Winsor McCay,1910-21-02,"""A series of drawings which reads Winsor M'Cay Draws
Impressions of Mr. Julian Eltinge at Orpheum above 
multiple sketches of Eltinge.""",Julian Eltinge,"Cincinnati (Ohio, United States)",https://www.digitaltransgenderarchive.net/files/2j62s499h,2j62s499h,Still image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A series of black and white drawings which reads ‘Winsor M'Cay Draws Impressions of Mr. Julian Eltinge at Orpheum’ above multiple sketches of Eltinge. Eltinge is drawn both in and out of costume. Underneath drawings of Eltinge dancing in drag, Eltinge is depicted speaking to Winsor M’Cay. M’Cay says ‘Say Julian I made a few sketches of you. I think they are publishing on this page’. Eltinge says ‘Thanks Mac! Say what do you think of this Larry McClean? Is he going to make good?’.”
",Lili,"McCay, Winsor.  ""Winsor M'Cay Draws Impressions of Mr. Julian Eltinge at Orpheum.""  Clipping. 1910.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/2j62s499h  
(accessed October 30, 2025).'"
florencetempest_dta_sheetmusic_boy_1912,florencetempest_dta_sheetmusic_boy_1912.jpg,Florence Tempest - I Want a Boy,"Murphy Tempest, Stanley Murphy, Henry I. Marshall",1912,“The sheet music cover for a song titled ‘I Want a Boy to Love Me’ starring Florence Tempest.”,Florence Tempest,"Detroit (Michigan, United States)",https://www.digitaltransgenderarchive.net/files/2f75r838r,4zcb3lj88,Still image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“A colored sheet music cover of the song titled ‘I want a Boy to Love Me’ from the production College Days. The piece stars Florence Tempest who is dressed as a male impersonator and laying on the cover.”,Lili,"""Tempest, Murphy,  Murphy, Stanley,  and Marshall, Henry I..  'I Want a Boy to Love Me.'  Leaflet.  1912.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/2f75r838r  (accessed November 25, 2025).''"
bothwellbrowne_nypl_postcard_1919,bothwellbrowne_nypl_postcard_1919.jpg,Bothwell Brown - Portrait,Bothwell Browne,1905-04-02,"""A portrait of Bothwell Browne holding a baton.""",Bothwell Browne,Unknown,https://www.queermusicheritage.com/FEMALE/f-browne-bothwell/browne-bothwell1919.jpg,08612n865,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A black and white image of female impersonator Bothwell Browne. Facing towards the left of the image, Browne’s head is titled up. Browne wears a short embroidered jump suit along with heels and holds a baton. At the bottom of the image it says ‘BothwellBrowneBetrics’.”",Calista,"""Bothwell Browne Postcard (1). Ephemera. 1919. Digital Transgender Archive, https://www.digitaltransgenderarchive.net/files/08612n865 (accessed November 01, 2025)."""
bothwellbrowne_dta_advert_1919,bothwellborwne_dta_advert_1919.jpg,Bothwell Brown - Bathing Beauties Revue,The Circle,1919-05-12,"“Bathing Beauties Revue starring Bothwell Browne showing at The Circle in Indianapolis, Indiana during the week of May 12, 1919.”",Bothwell Browne,Indiana (United States),https://www.queermusicheritage.com/FEMALE/f-browne-bothwell/browne-05-12-19.jpg,2z10wq415,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“An advertisement for the Bathing Beauties Revue, a group performance act. Spanning across the ad are images of women in bathing suits in various poses. In the bottom right corner is an image of Bothwell Browne posing in a long gown and headdress.”",Calista,"""Bathing Beauties Revue.""  Clipping.  1919.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/2z10wq415  (accessed November 01, 2025).'"
bothwellbrowne_nypl_image_group_1880,bothwellbrowne_nypl_image_group_1880.jpg,Bothwell Browne,Unknown,1850,“Cast of Miss Jack starring Bothwell Browne as the titular character.”,Bothwell Browne ,New York (United States),https://digitalcollections.nypl.org/items/86257580-ff5d-012f-7e78-58d385a7bc34,86789f70,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A black and white image of a group of 6 people dressed in costumes. In the middle is Bothwell Browne, sitting in a plush chair and wearing a long gown.”",Calista,"Billy Rose Theatre Division, The New York Public Library. ""Bothwell Browne"" New York Public Library Digital Collections. Accessed October 30, 2025. https://digitalcollections.nypl.org/items/86257580-ff5d-012f-7e78-58d385a7bc34'"
bothwellbrowne_nypl_image_lestersweydcollection_1850,bothwellbrowne_nypl_image_lestersweydcollection_1850.jpg,Bothwell Browne,Unknown,1850,"""Bothwell Browne poses with a sword.""",Bothwell Browne,New York (United States),https://digitalcollections.nypl.org/items/86789f70-ff5d-012f-07cd-58d385a7bc34,86257580,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/  ,image,"“A black and white portrait of female impersonator Bothwell Browne. Browne is wearing a white half sleeve button up blouse, a knee-length black velvet skirt, black stockings and buckle-adorned kitten heels. Facing away from the camera, Browne holds a sword behind their back.”",Calista,"Billy Rose Theatre Division, The New York Public Library. ""Bothwell Browne"" New York Public Library Digital Collections. Accessed October 30, 2025. https://digitalcollections.nypl.org/items/86789f70-ff5d-012f-07cd-58d385a7bc34'"
karylnorman_dta_sheetmusic_california_1921,karylnorman_dta_sheetmusic_california_1921.jpg,Karyl Norman - California,Con Conrad and Cliff Friend,1921,"“Sheet music cover for ""California,"" a popular song composed by Con Conrad and Cliff Friend and published by Jerome H. Remick and Company. The cover features Karyl Norman; ""The Creole Fashion Plate,"" a renowned female impersonator and vaudeville performer of the 1920s. This piece represents the intersection of popular music and gender performance in early 20th century American entertainment; showcasing how cross-dressing performers were prominently featured in mainstream sheet music marketing.”",Karyl Norman,"Detroit (Michigan, United States)",https://www.digitaltransgenderarchive.net/files/2f75r8391,2f75r8391,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“Sheet music cover for 'California' starring female impersonator Karyl Norman.”,Zoe,"Conrad, Con, and Friend, Cliff. ""California."" Leaflet. 1921.  Digital Transgender Archive, https://www.digitaltransgenderarchive.net/files/2f75r8391 (accessed October 30, 2025).'"
karylnorman_dta_sheetmusic_midnight_1923,karylnorman_dta_sheetmusic_midnight_1923.jpg,Karyl Norman - Midnight Rose,Lew Pollack and Sidney Mitchell,1923,"“Sheet music for ""Midnight Rose"" by composers Lew Pollack and Sidney Mitchell, featuring Karyl Norman ""The Creole Fashion Plate"". This 1923 publication captures Norman at the height of Norman’s career as one of vaudeville's most celebrated female impersonators; demonstrating the commercial appeal and cultural acceptance of gender-nonconforming performers in 1920s American popular culture.”",Karyl Norman,Unknown,http://digitaltransgenderarchive.net/files/4j03d0053,4j03d0053,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“Sheet music cover for 'Midnight Rose' starring female impersonator Karyl Norman”,Zoe,"Pollack, Lew, and Mitchell, Sidney. ""Midnight Rose."" Leaflet. 1923.  Digital Transgender Archive, https://www.digitaltransgenderarchive.net/files/4j03d0053 (accessed October 30, 2025).'"
karylnorman_dta_sheetmusic_nobodylied_1921,karylnorman_dta_sheetmusic_nobodylied_1921.jpg,Karyl Norman - Nobody Lied,"Hyatt Berry, Karly Norman, and Edwin J. Weber""",1921,"“Sheet music for ""Nobody Lied,"" notably co-written by Karyl Norman ""The Creole Fashion Plate"" themselves alongside Hyatt Berry and Edwin J. Weber, and published by Jerome H. Remick and Company. This piece is particularly significant as it showcases Norman not only as a performing artist but as a creative contributor to the popular music landscape; highlighting the multifaceted talents of this pioneering entertainer.”",Karyl Norman,"Detroit (Michigan, United States)",https://www.digitaltransgenderarchive.net/files/6969z098w,6969z098w,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“Sheet Music cover for 'Nobody Lied,' notably co-written by Karyl Norman.”",Zoe,"Berry, Hyatt, Norman, Karly, and Weber, Edwin J.. ""Nobody Lied ."" Leaflet. 1921.  Digital Transgender Archive, https://www.digitaltransgenderarchive.net/files/6969z098w (accessed October 30, 2025).'"
karylnorman_ua_sheetmusic_allthatineed_1921,karylnorman_ua_sheetmusic_allthatineed_1921.jpg,"Karyl Norman - All That I Need 
Is You Fox Trot Song",Lester Santly and Abel Baer,1921,"“Fox trot sheet music composed by Lester Santly and Abel Baer, published by Leo Feist and featuring Karyl Norman ""The Creole Fashion Plate"". This dance-oriented piece reflects the fox trot craze of the early 1920s and Norman's marketability across various musical genres, illustrating the performer's broad appeal in the golden age of vaudeville and popular song.”",Karyl Norman,New York (United States),https://vaudeville.library.arizona.edu/items/all-that-i-need-is-you/,1921kn04,Still Image,image/jpeg,English,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,"""Fox trot sheet music featuring Karyl Norman.""",Zoe,"Garcia, Megan American Vaudeville Museum Collection (MS 421), MS 365 Box 6 Folder 2, , courtesy of University of Arizona Libraries, Special Collections. https://vaudeville.library.arizona.edu/items/all-that-i-need-is-you/'"
karylnorman_uu_image_drag_1919,karylnorman_uu_image_drag_1919.jpg,Karyl Norman - Drag,"Photographer or Printer: Apeda 
studio New York",1919,"“Black and white studio photograph taken by Apeda Studio in New York City; depicting Karyl Norman ""The Creole Fashion Plate"" in a dark fringed and beaded dress with sequined wrap and hat. This striking portrait captures the glamour and sophistication of Norman's stage persona during the late 1910s; providing visual documentation of female impersonation as established entertainment forms in American vaudeville culture.”",Karyl Norman,"New York City (New York, United States)",https://collections.lib.utah.edu/details?id=2587695&facet_is_part_of_t=%22Norman%2C+Karyl%22&facet_setname_s=%22dha_cdlgbtuh%22&facet_format_t=%22image%2Fjpeg%22&setname_s=%21%28ir%2A+OR+ehsl%2A%29&sort=created_tdt+desc,2587695,Still Image,image/jpeg,English,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,"""Photograph of Karyl Norman in a dark fringed and beaded dress with sequined wrap and hat.""",Zoe,"Connell O'Donovan, LGBT Utah History 
Collection, courtesy of University of Utah J. Willard Marriott Digital Library https://collections.lib.utah.edu/details?id=2587695&facet_is_part_of_t=%22Norman%2C+Karyl%22&facet_setname_s=%22dha_cdlgbtuh%22&facet_format_t=%22image%2Fjpeg%22&setname_s=%21%28ir%2A+OR+ehsl%2A%29&sort=created_tdt+desc'"
